_key	2020-11	2020-10	2020-09	2020-08	2020-07	2020-06	2020-05	2020-04	2020-03	2020-02	2020-01	2019-12	2019-11	2019-10	2019-09	2019-08	2019-07	2019-06	2019-05	2019-04	2019-03	2019-02	2019-01	2018-12	2018-11	2018-10	2018-09	2018-08	2018-07	2018-06	2018-05	2018-04	2018-03	2018-02	2018-01	2017-12	2017-11	2017-10	2017-09	2017-08	2017-07	2017-06	2017-05	2017-04	2017-03	2017-02	2017-01	2016-12	2016-11	2016-10	2016-09	2016-08	2016-07	2016-06	2016-05	2016-04	2016-03	2016-02	2016-01	2015-12	2015-11	2015-10	2015-09	2015-08	2015-07	2015-06	2015-05	2015-04	2015-03	2015-02	2015-01	2014-12	2014-11	2014-10	2014-09	2014-08	2014-07	2014-06	2014-05	2014-04	2014-03	2014-02	2014-01	2013-12	2013-11	2013-10	2013-09	2013-08	2013-07	2013-06	2013-05	2013-04	2013-03	2013-02	2013-01	2012-12	2012-11	2012-10	2012-09	2012-08	2012-07	2012-06	2012-05	2012-04	2012-03	2012-02	2012-01	2011-12	2011-11	2011-10	2011-09	2011-08	2011-07	2011-06	2011-05	2011-04	2011-03	2011-02	2011-01	2010-12	2010-11	2010-10	2010-09	2010-08	2010-07	2010-06	2010-05	2010-04	2010-03	2010-02	2010-01	2009-12	2009-11	2009-10	2009-09	2009-08	2009-07	2009-06	2009-05
amp	45	96	91	54	53	109	89	70	72	85	82	63	82	85	57	64	112	63	75	54	56	29	68	61	39	40	33	81	50	47	31	21	25	18	32	28	28	41	60	62	55	32	24	22	25	22	17	9	15	59	25	24	18	20	28	20	39	51	46	53	54	37	27	34	79	51	63	56	31	27	52	64	52	59	43	36	36	53	53	55	28	26	34	54	30	58	46	56	38	36	55	63	71	67	36	41	48	67	41	46	37	23	15		2																																		
realized	1		1													1								1													1													1											1			1								1			2								1									1														1																																	
fake	25	43	43	30	28	34	37	49	34	24	13	20	24	23	49	42	28	30	25	18	31	8	29	20	16	21	9	39	29	26	14	19	11	7	15	26	9	28	5	15	16	14	14	9	7	20	12	1						2				1			2	3			2	1	2																			1													1		2			1																																			
media	18	30	11	5	17	17	20	22	15	7	7	10	9	20	35	22	27	29	18	15	21	7	22	8	7	14	6	26	16	13	13	8	5	5	10	11	2	6	3	9	12	5	11	10	4	17	14	3	3	16	3	22	16	9	12	3	12	3	2	13	10	12	9	4	25	2	2	4		1	4	1	2	2	2			1	2	2				1		1		4			2	4	3	3	3	1	4	10	6	3	3	1	1					1				1																											
coordinates	1																																																																																																																																										
real	4	5	3	8	4	8	7	1	8	5	3	5	2	8	9	6	5	5	8	2	3	2	6	5	5	1	3	12	4	8	3		2		1	3	3	1	1			4	2	4	2	3	3	1		1	1	4	3	1	1	1	3	4	4	14	6	16	5	3	15	12	16	15	11	8	16	15	9	12	13	1	4	17	3	14	7	1	5	5	3	8	15	5	7	8	16	13	5	1	9	7	13	15	12	9	3	3	3	6	1	5	2	1	3			1					1																						
message	2	2	1			1	2					1		2						1	1				1							1	2	1			1		1	1	1	2									1	2	1	3			2	4		2	3	3	2	1	1	1	1	1	1		1			2			1	2	1	1				1		4		2	1			2	2		1	1	2		1	1	1						1	2	1	1	3		1																	1									
never	21	35	33	31	23	18	28	17	20	16	38	26	37	49	30	25	36	20	23	35	19	13	17	19	15	12	13	18	11	21	10	10	11	12	13	11	4	10	6	9	7	3	5	2		4	13	2	5	13	12	7	14	9	10	9	13	11	11	11	11	13	9	10	24	13	22	14	13	8	20	20	7	18	14	11	16	27	14	12	15	9	13	18	7	9	18	16	20	14	35	21	17	21	20	13	25	21	14	5	7	6	5	3	1	3	4	2	3		1		3												1														1
gets	1	1	5	1	2		5	3	1	2	1	2	1		4	1	1	4	2		2	1	2	1	1	1	1	2	5			1			1				1					1			1	1		2	1	1			1		2	4	2	3	4	6	3	1	8	6	3	6	2	1	6	5	4	2	2	1		2	2		2				2		3	3	1	3	5	8	1	2	1		1	4	4	3	4	1	2	1		2	1		1			1	1																										
primary	1	1	1	4	1	3			2	7	1	1			1	4	2	2	2	1								11	6	4	2			1	1		6	1	1											1				6	5	2	5	4	3	1	4		1	1	2	1	1					1		1			1	7	2			2					1			1					1		1			3			2		6	5	13	5	1	2																													
